"","AY111","AY125","AY126","AY129","AY138","AY142","AY159","AY191","AY198","AY207","AY208","AY218","AY224","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY268","AY284","AY289","AY29","AY293","AY300","AY309","AY328","AY331","AY339","AY353","AY365","AY37","AY381","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY457","AY458","AY459","AY46","AY465","AY466","AY487","AY489","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY571","AY572","AY574","AY586","AY595","AY601"
"H-rep1",NA,NA,5.78199984172973e-06,NA,1.50487168044031e-05,4.65777346484545e-05,NA,0.00170029406893774,9.51128637280884e-05,1.68137377300508e-05,NA,0.00136205436167032,0.000186310938593818,0.00170029406893774,0.0055242717280199,0.00183500536955862,0.0009765625,0.00159746495812067,0.000328914447476975,0.00765172107489786,2.69379576504717e-05,6.58708640444596e-05,0.00377318878486268,NA,0.00885065535387342,0.00878951941163133,0.00948589753433631,5.24026755638278e-05,0.00213729238527488,NA,5.6947814424854e-05,0.00163103109263354,0.00235509341345852,9.65695643593048e-06,NA,0.00145981371937006,0.00337709855979635,0.000416325630746073,0.000171441024870361,NA,6.60471662574256e-07,NA,NA,NA,NA,0.00359448301025342,0.0219444511834062,NA,1.85271436217506e-05,0.00148019195948281,0.00128858194411416,0.000151331506340208,0.000505500451094423,NA,NA,0.00548611279585156,0.00522627951088326,5.65544471368635e-05,0.00319492991624133,NA,0.0551689372681659,NA,0.00018891174237578,0.00013925338328472,0.00786684023481812,0.0017848270512293,NA,0.000217002607706682,2.4512143770601e-07
"H-rep2",NA,NA,0.000176260888125305,NA,2.64188665029702e-06,9.25119974676756e-05,NA,0.0017848270512293,5.65544471368634e-05,3.22576306323663e-05,1.05675466011881e-05,0.001953125,0.000113895628849708,0.00235509341345852,0.00575886413004337,0.0020502278977013,0.00119398464618366,0.00270529192990415,0.000465155272482392,0.00995750490093173,NA,NA,0.00445610826511103,NA,0.0141799868018307,0.0110485434560398,0.0108964348933625,8.93606992154312e-05,0.00266804737647343,NA,5.7742776289404e-05,0.00278134803827553,0.00335377123608497,5.06176480599634e-05,NA,0.000832651261492146,0.00308609887446631,0.00101100090218884,0.00075564696950312,NA,1.68137377300508e-05,NA,NA,NA,NA,0.00515432777645662,0.0319066289283498,NA,NA,0.00213729238527488,0.00151129393900624,0.000249270538502733,0.000949858347082309,NA,NA,0.00694408344661383,0.00552427172801991,0.000498541077005465,0.00393342011740906,NA,0.0642571141660042,0.000449310376281678,0.000211068659987272,0.000234195341632145,0.00814426375657126,0.00282017421000487,NA,0.000190225727456177,9.737130410263e-07
"H-rep3",NA,NA,6.679038703984e-05,NA,NA,3.36724470630896e-06,NA,0.00390625,0.000331202228380779,2.94780373817397e-05,1.05816790777954e-06,0.00183500536955862,0.000158855206963127,0.00180974230837963,0.00600341867690629,0.00235509341345852,0.000923884420630464,0.00202200180437769,0.000352521776250609,0.00995750490093172,2.2652032022538e-05,7.25834420778028e-05,0.00387926756030092,NA,0.0115978403955394,0.0104525590217665,0.0111253921531021,0.000111551690701831,0.00335377123608497,NA,NA,0.00191293026872446,0.00430431685889301,1.00670464383918e-05,NA,0.00140034692189046,0.00390625,0.00203606593914281,0.000580667536622422,NA,NA,NA,NA,NA,NA,0.00467765118991768,0.0270167884783708,NA,1.0494551224821e-05,0.00233882559495884,0.00173602086165346,0.000195573700583404,0.000997082154010929,NA,NA,0.00675419711959269,0.00385247150192719,0.000375213667306643,0.00207884801260422,NA,0.0717936471873147,0.000286336657527314,0.000274672481613478,NA,0.00625835841866892,0.00245510424711294,NA,NA,NA
"I-rep1",NA,1.5048716804403e-05,2.41101474567681e-05,5.47742059229392e-07,NA,2.51676160959796e-06,NA,0.00196671005870453,0.000152384100207716,1.08040226487713e-06,1.85519208414514e-06,0.00196671005870453,NA,0.00302258787801248,0.00734002147823446,0.000997082154010931,0.00127084165570501,0.00240457893231429,0.000549344963226958,0.00849011611348482,NA,3.8096025051929e-05,0.00548611279585155,NA,0.0098887233903928,0.0112806968400195,0.00922650516741821,0.000195573700583404,0.00276213586400995,NA,4.11143059346218e-05,0.00210786764942271,0.00374712546611431,1.62410000984704e-05,3.83610038611398e-05,0.00219737985290783,0.00385247150192718,0.000719858016255421,0.000923884420630465,1.29375870461242e-06,NA,NA,NA,NA,5.35037671701682e-05,0.00270529192990415,0.0214928409084335,NA,1.38476433611627e-05,0.00222805413255551,0.00189971669416462,0.000354973759111404,0.000662404456761558,5.02680064250228e-05,NA,0.00625835841866891,0.0050482532446777,0.000195573700583404,0.00268660511355419,2.51340032125114e-05,0.0483614060481997,8.33764805147947e-05,0.000242454222518808,NA,0.0106721895058937,0.00143971603251084,NA,NA,NA
"I-rep2",NA,1.55794086564208e-05,NA,2.66026242513734e-06,NA,4.9642252175977e-06,NA,0.00213729238527488,0.00029643429794801,1.54924849768874e-06,NA,0.00210786764942271,NA,0.00287943206502168,0.00704101923914712,0.00189971669416462,0.000997082154010932,0.00232267014648969,0.000422137319974543,0.00831539205041687,NA,0.000104081407686518,0.00656950324416964,NA,0.0111253921531021,0.0109722255917031,0.0101667332456401,0.00013358077407968,0.00361948461675926,NA,4.7227935593945e-05,0.00229069326021851,0.00480915786462858,NA,NA,0.00215215842944651,0.0035696541024586,0.000676322982476037,0.000868010430826728,NA,NA,NA,NA,NA,5.61637970352096e-05,0.00238796929236732,0.020760715845258,NA,6.41553051188442e-06,0.00282017421000488,0.00192623575096359,0.000478232567181116,0.000653284938860405,5.57758453509156e-05,NA,0.00522627951088324,0.0055242717280199,0.000282394576148752,0.00235509341345852,1.16444336621136e-05,0.0423938852327398,0.000114687835597414,0.000388445548708456,NA,0.0090994811442848,0.00130656987772081,NA,NA,NA
"I-rep3",NA,1.8272074960616e-05,2.53088240299818e-05,NA,NA,NA,NA,0.00148019195948281,0.000274672481613479,7.69273528310899e-07,1.42559933532233e-06,0.00196671005870453,NA,0.00248937622523293,0.00643430482240292,0.00114534663010926,0.000990194804482451,0.0022748702860712,0.000328914447476975,0.00885065535387344,NA,6.58708640444597e-05,0.00474294876716815,NA,0.0114381694995752,0.0100965064893554,0.0100965064893554,8.40686886502541e-06,0.00302258787801248,NA,NA,0.00237147438358407,0.00283979007289123,1.25838080479898e-06,2.76952867223255e-05,0.0022748702860712,0.00404400360875539,0.000705043552501219,0.000383097704051148,5.21103003217468e-06,NA,NA,NA,NA,1.05085860812818e-06,0.0017480958416562,0.020474896935287,NA,NA,0.00280069384378092,0.00150085466922657,0.00014217939287945,0.000648772370164313,NA,NA,0.00436440288309461,0.00491020849422589,0.000220031851223347,0.00235509341345852,NA,0.0445015686124085,0.000152384100207717,0.000292353199369856,NA,0.00897420589841434,0.0014297711874469,NA,NA,NA
"J-rep1",0.00132480891352312,NA,NA,NA,2.7350525818173e-06,9.92845043519541e-06,NA,0.00216712787513251,0.000315515827792357,NA,NA,0.0014297711874469,3.339519351992e-05,0.00155378219483383,0.00596195003500218,0.0021822014415473,0.000618045211899551,0.00177249835022883,0.00046839068326429,0.00854916954109952,6.01948672176123e-05,NA,0.00364466012319065,4.02681857535673e-05,0.00647905895167533,0.00968521640577332,0.00988872339039281,0.00013733624080674,0.00215215842944651,NA,6.59589562460224e-06,0.00222805413255552,0.00317286092326654,NA,NA,0.00160857620560073,0.00274305639792578,0.000745243754375273,0.000311172028154117,NA,NA,0.000105534329993636,NA,0.000107751830601887,3.67983345852893e-05,0.00467765118991769,0.0219444511834062,NA,3.76217920110077e-06,0.00157547218598072,0.00134330255677709,0.000190225727456177,0.000465155272482391,NA,NA,0.0041289767209429,0.00377318878486268,0.000140221967162724,0.00212252902837121,NA,0.0934280780396837,0.000153444015444559,0.000164457223738488,NA,0.00770494300385437,0.00144973004944243,NA,NA,NA
"J-rep2",0.00135264596495207,NA,NA,NA,NA,NA,NA,0.00124468811261647,0.00025806104505893,NA,NA,0.00154304943723316,NA,0.00203606593914281,0.00643430482240291,0.00276213586400995,0.00071985801625542,0.00157547218598072,0.000458751342389654,0.00866851150053003,0.000111551690701831,NA,0.00424505805674242,4.5304064045076e-05,0.00891221653022207,0.00948589753433631,0.00968521640577332,8.87434397778509e-05,0.00276213586400995,NA,1.47587298731078e-06,0.00243814560332346,0.00354499670045766,NA,NA,0.00158643046163327,0.00364466012319065,0.000886249175114415,0.00026716154815936,NA,NA,0.000104081407686518,NA,0.00048828125,NA,0.00471018682691703,0.0213443790117874,NA,1.08646407745138e-05,0.00196671005870453,0.00120228946615715,8.22286118692438e-05,0.000874047920828098,NA,NA,0.00451831321838003,0.00587987010707448,0.000286336657527314,0.00250669120617755,NA,0.125,0.000313336400772193,0.000440063702446695,6.77227460978909e-05,0.00634572184653309,0.00207884801260422,NA,0.000116288818120598,NA
"J-rep3",NA,NA,NA,NA,4.35166822764748e-06,2.6383582498409e-05,NA,0.00235509341345852,0.000194222774354228,NA,NA,0.00132480891352312,6.54158607505062e-05,0.00213729238527488,0.00600341867690629,0.00289946009888486,0.000437023960414048,0.00184776884126093,0.000269019803680813,0.00916277304087404,NA,NA,0.00382586053744893,3.5055491790681e-05,0.00792155843585961,0.0107464204542167,0.0109722255917031,8.57205124351805e-05,0.00213729238527488,NA,NA,0.00221266383846836,0.00321715241120146,NA,NA,0.000776891097416913,0.00302258787801248,0.0010612645141856,8.10965462705389e-05,NA,NA,9.38034168266609e-05,NA,0.000212536758617218,5.85488354080361e-05,0.00519017896131449,0.0220970869120796,NA,NA,0.00161976473791883,0.00122755212355647,0.000114687835597413,NA,NA,NA,0.00491020849422589,0.00464534029297937,0.000292353199369856,0.00202200180437769,NA,0.12413656192963,0.000113895628849708,0.000357442796861725,0.000123774350560306,0.00684848219778153,0.00141989503644562,NA,0.000146176599684928,NA
"K-rep1",NA,NA,NA,NA,3.37174788087152e-07,1.86809596555124e-06,NA,0.0017848270512293,0.000302663012680416,2.21858599444627e-05,NA,0.000997082154010932,1.9313912871861e-05,0.00187356273305716,0.00617219774893263,0.0035696541024586,0.00107607921472325,0.00149048750875055,0.000364953429842515,0.00885065535387342,2.18804206545384e-05,NA,0.00369553768252186,3.86278257437219e-05,0.00643430482240291,0.0101667332456401,0.0105984713081849,4.82202949135362e-05,0.00213729238527488,NA,NA,0.00224355147460358,0.00255936211691087,1.37703818847894e-06,5.97790708976395e-05,0.00089241352561465,0.00333060504596858,0.000826899719104031,0.000449310376281677,NA,NA,5.06176480599635e-05,NA,NA,NA,0.00143971603251084,0.0332615682016675,1.05675466011881e-05,4.08849129690664e-06,0.00210786764942271,0.00103224418023572,0.000152384100207716,0.000516122090117862,NA,NA,0.00643430482240291,0.00533609475294685,7.3088299842464e-05,0.00255936211691087,NA,0.0563281539131769,NA,0.000335825639194274,0.000129928000787764,0.00739107536504373,0.00166530252298429,NA,1.97197392370223e-05,1.41386117842159e-05
"K-rep2",NA,NA,NA,NA,1.85767311968923e-07,3.65441499212319e-05,NA,0.00159746495812067,0.000154511302974888,1.15794647635941e-06,NA,0.00102511394885065,9.25119974676755e-05,0.00139067401913776,0.00504825324467769,0.00164237581104241,0.000911165030797663,0.00152180581964941,0.000298496161545915,0.00897420589841433,NA,NA,0.00356965410245859,7.46240403864787e-05,0.00723896923351853,0.0101667332456401,0.00975258241329384,9.57744260127869e-05,0.00163103109263353,NA,NA,0.00151129393900624,0.00312917920933446,NA,NA,0.000943297196215669,0.00206448836047144,0.00118573719179204,9.12383574606285e-05,NA,NA,7.99800661534646e-05,NA,NA,NA,0.00105393382471135,0.0268301698886798,4.2917575252106e-06,2.07278225426875e-06,0.00151129393900624,0.000676322982476037,9.38034168266607e-05,0.00071985801625542,NA,NA,0.00458138652043703,0.0046132525837091,0.000135445492195782,0.0022748702860712,6.29190402399489e-07,0.0529215820226579,NA,0.000288328286481819,5.85488354080361e-05,0.00754637756972535,0.00137152819896289,NA,NA,4.15110856674253e-07
"K-rep3",NA,NA,NA,NA,2.05846450138936e-06,9.59025096528493e-06,NA,0.00202200180437769,7.99800661534647e-05,4.16882402573974e-05,NA,0.000956465134362234,NA,0.00210786764942271,0.00617219774893264,0.00306478163240918,0.00160857620560073,0.00171212054944538,0.000370047989870703,0.0131390064883393,3.57920821909143e-05,NA,0.00464534029297939,1.55794086564208e-05,0.0067541971195927,0.0113591602915649,0.013602352551502,5.16812324440019e-05,0.00188659439243134,NA,NA,0.00203606593914282,0.00439475970581566,0.000410593952760603,0.000205296976380302,0.00136205436167032,0.00302258787801248,0.000949858347082309,NA,NA,NA,NA,NA,NA,NA,0.00166530252298429,0.027584468634083,1.11700874019289e-05,NA,0.001953125,0.00082689971910403,0.000117912149526959,0.000936781366528578,NA,NA,0.00587987010707449,0.0050133824123551,NA,0.00312917920933446,1.78960410954572e-05,0.0633724674868769,NA,0.000431007322407547,NA,0.00820091159080522,0.00248937622523293,NA,0.0001326580642732,NA
"L-rep1",0.00298097501750109,NA,NA,NA,NA,7.83341001930484e-05,NA,0.00291962743874011,0.000140221967162724,0.000102648488190151,NA,0.0019803896089649,NA,0.0022748702860712,0.00786684023481811,0.00458138652043703,0.00152180581964941,0.00193963378015046,0.000488281250000001,0.0100267648247102,5.09697216447979e-05,NA,0.00596195003500219,4.69017084133304e-05,0.0124302575586706,0.0122591265296367,0.0136969643955631,0.000127254121196426,0.00221266383846836,NA,NA,0.00548611279585155,0.00337709855979635,0.000104805351127655,NA,0.000892413525614648,0.00283979007289123,0.00177249835022883,0.000239116283590558,NA,NA,NA,NA,0.000282394576148752,0.000375213667306643,0.00255936211691086,0.0246887909957306,NA,NA,0.00235509341345852,0.00132480891352312,0.000115485552578808,0.000618045211899551,0.000201072025700091,NA,0.00797665723208744,0.00612956326481837,0.000458751342389655,0.00330759887641612,1.46567838791657e-06,0.180491149440312,5.8627135516663e-06,0.000235824299053918,NA,0.00909948114428481,0.00276213586400995,3.87312124422186e-07,NA,NA
"L-rep2",NA,NA,NA,NA,NA,5.06176480599635e-05,NA,0.00173602086165346,0.000145166884155606,9.51128637280884e-05,NA,0.00150085466922658,NA,0.0020933075440162,0.00708999340091532,0.00433425575026502,0.00120228946615715,0.00184776884126093,0.000388445548708456,0.00942037365383406,NA,1.42369536062135e-05,0.00560138768756182,4.34585630980552e-05,0.00797665723208745,0.0106721895058937,0.0114381694995752,0.000117912149526959,0.00163103109263353,NA,NA,0.00494436169519641,0.00328475162208482,NA,NA,0.00127084165570501,0.0020933075440162,0.00101100090218885,0.000269019803680813,NA,1.95003046645589e-07,NA,NA,NA,0.000192881179654145,0.00237147438358408,0.0228763389991504,NA,4.568018740154e-06,0.00187356273305716,0.00121907280166173,5.93661466926444e-05,NA,0.000399366239530167,NA,0.00666121009193716,0.00680117627575097,0.000286336657527314,0.00328475162208482,NA,0.159320078414908,NA,0.000270890984391563,NA,0.00739107536504371,0.00173602086165346,NA,NA,NA
"L-rep3",0.00151129393900624,NA,NA,NA,NA,2.80818985176048e-05,NA,0.00300170933845315,4.65777346484545e-05,0.000105534329993636,NA,0.00121907280166173,NA,0.00187356273305716,0.00634572184653309,0.00387926756030093,0.000695337009568883,0.00153239081620459,0.000313336400772193,0.00849011611348484,2.51340032125114e-05,1.53649223336292e-05,0.00634572184653309,1.68137377300508e-05,0.0071393082049172,0.0106721895058937,0.0103086555529133,5.13242440950753e-05,0.00155378219483383,NA,NA,0.00398832861604373,0.00321715241120146,0.000104081407686518,NA,0.000648772370164312,0.00210786764942271,0.00125334560308877,7.77930070385293e-05,NA,3.01779888622827e-07,NA,NA,0.000158855206963127,7.3088299842464e-05,0.00255936211691087,0.0183255460817481,NA,1.99950165383661e-05,0.00164237581104241,0.00183500536955862,7.3088299842464e-05,0.000653284938860407,0.000178721398430863,NA,0.00575886413004337,0.00556269607655107,NA,0.00243814560332346,2.92744177040181e-05,0.13030822010514,0.00014416414324091,NA,NA,0.00718896602050683,0.00120228946615715,4.38193647383512e-06,NA,NA
"M-rep1",0.00278134803827553,NA,5.09697216447979e-05,NA,2.43103146995403e-06,0.000104081407686518,NA,0.00330759887641612,0.000319920264613858,3.00974336088061e-05,5.32052485027468e-06,0.0017480958416562,2.78879226754577e-05,0.00235509341345852,0.00897420589841433,0.00604517575602496,0.0011374351430356,0.00225915660919002,0.000425073517234436,0.0107464204542168,NA,2.56621220475377e-05,0.00385247150192719,8.45403728095046e-05,0.00656950324416964,0.0130482487410683,0.0135083942391854,0.000152384100207716,0.00224355147460358,NA,NA,0.00625835841866892,0.00315094437196143,NA,2.62013377819138e-05,0.000943297196215669,0.00280069384378091,0.00103942400630211,7.72556514874438e-05,NA,NA,NA,NA,0.000101235296119927,6.01948672176123e-05,0.00302258787801248,0.0248605151173412,NA,NA,0.00233882559495884,0.00216712787513251,0.000186310938593818,0.000396607615408318,7.83341001930483e-05,NA,0.00666121009193716,0.00596195003500218,0.000169080745619009,0.00315094437196143,NA,0.135841857815757,0.000342882049740722,0.000530632257092801,NA,0.00916277304087406,0.00187356273305715,NA,8.93606992154313e-05,NA
"M-rep2",0.00372124217985913,NA,2.14301281087951e-05,NA,3.03473084928481e-06,9.7111387177114e-05,NA,0.00203606593914281,0.000195573700583404,5.09697216447979e-05,NA,0.00154304943723316,0.000113108894273727,0.0017848270512293,0.00734002147823447,0.00533609475294685,0.000956465134362232,0.00210786764942271,0.000364953429842514,0.00797665723208745,NA,2.09891024496421e-05,0.00471018682691703,4.69017084133305e-05,0.00831539205041687,0.0112806968400195,0.0121744465571953,0.000217002607706682,0.00199416430802186,NA,NA,0.0045497405721424,0.00300170933845315,NA,4.16882402573973e-05,0.000832651261492145,0.00291962743874011,0.000930310544964782,0.000261663443002024,1.02212282422666e-06,NA,NA,NA,0.000171441024870361,5.89560747634793e-05,0.00287943206502168,0.0203334664912802,NA,9.99750826918307e-06,0.00172402928963019,0.00114534663010926,0.000124635269251366,0.00058470639873971,NA,NA,0.00652412437053413,0.00567958014578246,0.000205296976380301,0.00312917920933446,NA,0.125,7.1089696439725e-05,0.000244140625,NA,0.00699238336662478,0.00188659439243134,NA,NA,NA
"M-rep3",NA,NA,NA,NA,NA,0.000103362464888004,NA,0.00280069384378092,0.000220031851223347,1.8272074960616e-05,1.47587298731078e-06,0.00177249835022883,6.23176346256832e-05,0.00224355147460359,0.00922650516741821,0.00684848219778153,0.00112177573730179,0.00280069384378092,0.000437023960414048,0.0103086555529132,NA,0.000110781146889302,0.0055242717280199,9.91519038520796e-05,0.00630188874392286,0.0124302575586706,0.0150927551394507,0.000196934023247589,0.00210786764942271,NA,NA,0.00537321022710837,0.00312917920933446,NA,NA,0.00120228946615714,0.00233882559495884,0.00154304943723316,0.000230971105157616,3.4665406163223e-07,NA,NA,NA,0.000393868046495179,NA,0.00274305639792578,0.023683071351725,NA,6.68797089627103e-06,0.00276213586400995,0.00157547218598071,0.000125502176105477,0.000750427334613287,7.83341001930484e-05,NA,0.00608722327859765,0.00596195003500219,0.000364953429842514,0.00340058813787548,NA,0.156041318612702,0.000272775180193413,0.000564789152297503,NA,0.00781249999999999,0.00173602086165346,NA,0.000218511980207024,NA
"N-rep1",NA,NA,8.70333645529497e-06,NA,3.53938000352156e-07,5.87055403397042e-07,NA,0.00445610826511102,0.000145166884155606,NA,NA,0.00163103109263353,NA,0.00221266383846836,0.00661519775283223,0.00430431685889301,0.000868010430826728,0.0019803896089649,0.000290333768311211,0.00843147059769083,NA,NA,0.00643430482240291,1.99950165383661e-05,0.00508336662282005,0.0116785097549604,0.0114381694995752,0.000107007534340336,0.00196671005870453,NA,NA,0.00458138652043703,0.00270529192990415,NA,NA,0.00101100090218885,0.00250669120617755,0.000826899719104029,0.00026716154815936,NA,NA,3.13755440263692e-05,NA,NA,7.81055333529928e-08,0.00200803481768763,0.017217267435572,NA,NA,0.00206448836047144,0.00152180581964941,0.000240779468870449,0.000338161491238018,NA,0.000311172028154116,0.00575886413004336,0.00508336662282005,0.000104805351127656,0.00296038391896562,2.1458787626053e-06,0.0698304461295138,0.000176260888125305,0.000270890984391563,NA,0.0070410192391471,0.00120228946615715,NA,4.62559987338378e-05,NA
