"peak_number","name.x","formula","calc_mw","m_z","day","height","location","mean","std","n","se","name.y","class"
1509,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07435,263.08161,"01","bottom","half",2680179.84395501,135079.566816954,2,95515.6776960099,NA,"unknown"
1509,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07435,263.08161,"01","middle","half",1064649.46804457,22567.2625189266,2,15957.46435995,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","bottom","half",1000572.72834048,93324.0009847659,2,65990.033943788,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","bottom","quarter",1723174.31300399,10479.9616717719,2,7410.45196468499,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","middle","half",387931.765725109,12780.2223154651,2,9036.98186433702,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","top","quarter",323393.859701833,1787.44064966982,2,1263.91140435002,NA,"unknown"
1510,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"29","middle","half",649162.863289789,6594.06517798604,2,4662.70820294,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","bottom","quarter",723129.940028328,97011.4411396286,2,68597.447882511,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","middle","quarter",488100.089263182,22746.5357626399,2,16084.229686265,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","top","half",840348.031254113,40369.8468655537,2,28545.7924740955,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"01","top","quarter",534006.559193457,1399.81852970572,2,989.821174785495,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"04","bottom","half",770471.847257835,19574.5052848247,2,13841.2654252715,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"08","bottom","half",621287.604214679,5740.83715204903,2,4059.38487990154,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"15","bottom","half",731796.76788404,128689.853940398,2,90997.4683911615,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"18","bottom","half",565111.072565123,97818.1368572072,2,69167.867894765,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"25","bottom","half",646976.680926372,92227.4720403257,2,65214.670891407,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"29","bottom","quarter",628483.677342906,49505.4391103016,2,35005.631700512,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"29","middle","half",556786.735051181,126238.009217824,2,89263.752361413,NA,"unknown"
1512,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07434,263.08162,"29","top","half",559479.165784949,20867.7616036717,2,14755.7357381405,NA,"unknown"
1514,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07431,263.08159,"01","middle","half",199811.425118902,1604.15229975322,2,1134.3069692115,NA,"unknown"
1514,"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","C16 H10 N2 O2",262.07431,263.08159,"08","bottom","half",179074.828056047,23436.3057919798,2,16571.9707514705,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"01","top","half",181922.933655581,35219.1771599719,2,24903.7189976265,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"04","bottom","half",156837.747509493,27617.0548431639,2,19528.206756002,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"11","bottom","half",254278.92481409,63166.2433770593,2,44665.2790339985,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"22","bottom","half",1009715.15876654,37676.125907515,2,26641.044118042,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"29","bottom","quarter",295569.632559542,16848.5685976012,2,11913.7371086505,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"29","middle","half",1059180.73181984,227894.574507447,2,161145.799029839,NA,"unknown"
3859,"1 deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,"29","top","quarter",308686.568986128,41428.1949667658,2,29294.1575933185,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"18","bottom","half",128054.630504945,1713.78393280859,2,1211.8282403775,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"22","bottom","half",240296.121337468,22065.9249151574,2,15602.965140661,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","bottom","half",367023.1404861,22419.4659070625,2,15852.9563734645,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","middle","half",830997.050126764,10914.958834628,2,7718.04140833748,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","top","half",916094.208591013,41119.4626230975,2,29075.850859539,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","top","quarter",957762.800662761,49890.2920405342,2,35277.763817239,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"01","middle","half",2266001.76594308,118725.05965815,2,83951.2947810551,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"04","bottom","half",2277812.29858737,207506.995279805,2,146729.603505995,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"15","bottom","half",3286547.25818171,17889.8016314352,2,12650.00004767,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"29","bottom","half",2280837.21091615,192001.749840386,2,135765.73931182,NA,"unknown"
11762,"4 methoxy 4 oxobutan 2 yl 3 3 hydroxybutanoyl oxy butanoate","C13 H22 O7",290.13678,291.14405,"04","bottom","half",182058.621246565,7200.21157118323,2,5091.31842796151,NA,"unknown"
11762,"4 methoxy 4 oxobutan 2 yl 3 3 hydroxybutanoyl oxy butanoate","C13 H22 O7",290.13678,291.14405,"11","bottom","half",138665.540141731,12640.7226046859,2,8938.34067287149,NA,"unknown"
13151,"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","C25 H36 O5",416.25607,434.29006,"18","bottom","half",459606.028156281,101159.650973474,2,71530.6751858075,NA,"unknown"
13153,"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","C25 H36 O5",416.25626,417.26353,"29","bottom","quarter",316280.057078659,31920.0234147612,2,22570.865012211,NA,"unknown"
13578,"6 7 dimethoxy 4 3 naphthalen 2 yloxy pyrrolidin 1 yl quinazoline","C24 H23 N3 O3",401.1733,402.18058,"11","bottom","half",246041.49033658,18316.0820441215,2,12951.4258181675,NA,"unknown"
13578,"6 7 dimethoxy 4 3 naphthalen 2 yloxy pyrrolidin 1 yl quinazoline","C24 H23 N3 O3",401.1733,402.18058,"29","middle","quarter",879186.81141122,96143.1899292205,2,67983.501563858,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","bottom","half",53859647.1850901,1565239.94522838,2,1106791.77945505,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","bottom","quarter",44956036.508484,694779.879621167,2,491283.5643121,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","middle","half",43842176.3530516,976789.097810438,2,690694.194850851,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","middle","quarter",84533838.2558162,1309870.43131947,2,926218.264461748,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","top","half",60096826.8739675,992057.727849999,2,701490.746691253,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","top","quarter",49611869.458671,1315176.30195885,2,929970.081570949,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"04","bottom","half",34219567.0402298,340688.163791414,2,240902.910886902,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"08","bottom","half",26647772.3822544,1189347.80503523,2,840995.89812975,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"11","bottom","half",35750258.9500819,377125.316284936,2,266667.8685022,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"15","bottom","half",26723820.1914269,714421.76238489,2,505172.4728096,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"18","bottom","half",34349608.2156366,198669.854055942,2,140480.801020298,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"22","bottom","half",15251590.6987878,129010.618811946,2,91224.2834069999,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"25","bottom","half",66411213.3795217,561998.251497193,2,397392.774648648,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","bottom","half",43686937.9965676,778870.443154052,2,550744.572020002,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","bottom","quarter",29870478.9614424,143513.599851023,2,101479.439647151,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","middle","half",42202243.2141968,170488.836140075,2,120553.812151249,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","middle","quarter",23996364.1991942,444422.009353485,2,314253.816522401,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","top","half",31390071.6417442,12045.4554452976,2,8517.42322785035,NA,"unknown"
14603,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","top","quarter",53081299.7973096,1025260.57090992,2,724968.702173598,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","bottom","half",1298275.93114897,46468.3620143312,2,32858.093890965,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","bottom","quarter",2032844.4791223,146739.332687351,2,103760.377210015,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","middle","half",1234995.65785486,99529.7917832766,2,70378.19070004,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","middle","quarter",1293117.00336192,8233.94193719945,2,5822.27617969003,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","top","half",817639.554304081,117971.295467614,2,83418.303010512,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","top","quarter",986336.119748128,50991.12678754,2,36056.1715318125,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"04","bottom","half",1096599.26344042,211439.225805888,2,149510.110376177,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"08","bottom","half",638792.836061392,70646.4328013919,2,49954.571700504,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"11","bottom","half",639811.216064953,9675.0557510495,2,6841.29752992501,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"15","bottom","half",711171.818964111,139288.619885003,2,98491.927662801,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"18","bottom","half",781288.043420723,17934.5152237783,2,12681.617332027,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"22","bottom","half",281762.14495422,37424.2291981741,2,26462.9262467085,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"25","bottom","half",600328.871551703,9080.89380755773,2,6421.161590559,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","bottom","half",636032.962329834,20285.3770894326,2,14343.927698864,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","middle","half",4107744.78373003,54766.0343963785,2,38725.4343003749,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","top","half",424426.910661359,11834.4863412614,2,8368.24554376549,NA,"unknown"
14604,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","top","quarter",585084.248722023,36694.711806405,2,25947.079551995,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","bottom","quarter",920222.012646248,227642.404215717,2,160967.487706543,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","middle","half",714866.049306042,664.211259903203,2,469.668286018015,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","middle","quarter",618964.280384072,85116.1793798719,2,60186.227628198,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","top","half",781548.167627606,19829.7305360191,2,14021.736931121,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","top","quarter",888685.58619024,137288.922859966,2,97077.928336079,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"04","bottom","half",2120862.85697701,8334.65486153381,2,5893.49097143998,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"25","bottom","half",674456.379722332,98663.5993499552,2,69765.7001566259,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","bottom","half",492127.726479506,108885.738967559,2,76993.8443984695,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","middle","half",722796.699955211,100767.20157477,2,71253.1715547115,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","top","half",2851412.06876429,147278.098536034,2,104141.34219509,NA,"unknown"
14606,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","top","quarter",681457.758576378,96136.4852760229,2,67978.7606581165,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","top","half",1568571.83881996,49618.4603708514,2,35085.549800265,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"01","top","quarter",1137922.4344363,69035.7924279991,2,48815.6769704251,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","bottom","half",1092730.59789295,83199.3056373821,2,58830.793206205,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","middle","half",876855.080123021,57329.2077776933,2,40537.8715796595,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","middle","quarter",1194784.09492026,83942.8188424638,2,59356.53643542,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","top","half",1101853.76551722,16202.1741439042,2,11456.66720712,NA,"unknown"
14607,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.0601,"29","top","quarter",910692.809538738,80970.8630295501,2,57255.046326722,NA,"unknown"
14608,"8 hydroxyquinoline","C9 H7 N O",145.05282,146.06009,"29","top","quarter",2275356.29648141,502631.601826352,2,355414.21409007,NA,"unknown"
14609,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"01","bottom","quarter",630708.803726478,189939.128536021,2,134307.245800484,NA,"unknown"
14609,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"04","bottom","half",980653.155450958,218502.002302409,2,154504.247530872,NA,"unknown"
14609,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"08","bottom","half",491914.153280009,91026.0627885533,2,64365.1462624985,NA,"unknown"
14609,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","middle","half",1030328.65471785,82081.5613293819,2,58040.4286263855,NA,"unknown"
14609,"8 hydroxyquinoline","C9 H7 N O",145.05283,146.06011,"29","top","half",953651.748198655,106811.203344803,2,75526.9261918055,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"01","bottom","quarter",647271.391701572,123057.029229834,2,87014.459841087,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"01","middle","quarter",564168.072141716,1945.97517704405,2,1376.01224370854,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"11","bottom","half",347661.332876812,22415.7686265731,2,15850.3420013585,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"18","bottom","half",408901.722817213,17270.871705172,2,12212.35049973,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"29","bottom","half",453352.011662096,13190.2777762958,2,9326.93486135299,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"29","middle","half",382921.158530475,5192.52153038446,2,3671.667185592,NA,"unknown"
14610,"8 hydroxyquinoline","C9 H7 N O",145.05284,146.06012,"29","top","quarter",333481.805000908,2288.43211388126,2,1618.1658660105,NA,"unknown"
15274,"acycloguanosine aciclovir","C8 H11 N5 O3",225.08727,226.09454,"29","bottom","quarter",731493.942443996,63819.7374923747,2,45127.3691544035,NA,"unknown"
15443,"agroclavine","C16 H18 N2",238.14707,239.15434,"29","middle","quarter",187252.08271878,10080.2141238794,2,7127.78776280751,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","bottom","quarter",798410.473022528,17128.6976837734,2,12111.8182850905,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","middle","half",627860.041718428,12707.5475412332,2,8985.59303865646,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","top","half",765182.65028546,18142.2310510491,2,12828.49460205,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"01","top","quarter",866549.222330816,73166.8656680219,2,51736.7868720235,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"08","bottom","half",400091.010088391,17101.4834989134,2,12092.5749504315,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"11","bottom","half",619996.587015992,30514.875171347,2,21577.2751607205,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"15","bottom","half",422183.558293534,23232.2670773752,2,16427.693592749,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"18","bottom","half",472471.771092922,13652.7265888433,2,9653.935552657,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"29","bottom","half",492809.948777058,13624.3071530372,2,9633.83997688099,NA,"unknown"
15501,"alafosfalin","C5 H13 N2 O4 P",196.06128,197.06856,"29","top","half",437050.643262205,15569.253546694,2,11009.12476088,NA,"unknown"
15810,"amastatin","C21 H38 N4 O8",474.26743,492.30124,"29","middle","quarter",7481146.87226642,676311.59631985,2,478224.515952865,NA,"unknown"
15891,"amicycline","C21 H23 N3 O7",429.15228,430.15956,"29","top","half",164155.106125062,32845.357235953,2,23225.174832037,NA,"unknown"
16267,"anisomycin","C14 H19 N O4",265.13151,266.13879,"29","middle","half",160880.664777626,39096.5233417959,2,27645.416775802,NA,"unknown"
16268,"anisomycin","C14 H19 N O4",265.13151,266.13878,"29","top","half",156904.676580839,17429.1672724429,2,12324.282368779,NA,"unknown"
16306,"aphidicolin","C20 H34 O4",338.24577,361.23502,"08","bottom","half",1680681.58698156,1057.70262687916,2,747.908699945081,NA,"unknown"
16401,"arbekacin","C22 H44 N6 O10",552.31458,553.32185,"01","bottom","quarter",200492.654758088,14981.1708221701,2,10593.2874784705,NA,"unknown"
