,0
94e095e9e0e6a5f3e910bfde1fdf587d,50534.0
66b2068aa37a4673bc168a71e87cac5f,18020.0
b31b6f69d939a5c75965ce78c57107df,17272.0
fd04e716e306a69ff9f0e6ecc4151380,15848.0
6e2b2b41454f7d16f50944f186d5a311,8220.0
16240e3caccfdb5e068f0917c430a68a,6693.0
26768396da939fc2f5fc4bf5ab6eb44e,6503.0
a8f8f943106c0d806b66c5fe14ff4b45,5878.0
eb9946f81c8e43b48d8df7702b069b3b,5768.0
dd5ce8d0b040693d540cb5aaf1b9fb3b,5681.0
c1a4fea3444036aa87679d9e5f31712a,5211.0
987e1c48ae46f17993c75cf57c05d860,4625.0
a8e437f7f1bbccef087909d9875f927a,4404.0
4078124ebd7dd4c85eb08988b41ce5f2,3741.0
8ed8ed5e66f5caa125c648a25a294eef,3733.0
8ec1d762ce907f90ab42bfcea5e8658e,3711.0
c680dbe27183a83f40bca91710216e76,3707.0
39b08db43fcbe490c83f4c578cdf3c20,2915.0
efdaef13c932dc006d1bfcc2ad95b8f4,2837.0
8b0008a307895c73fbdb7d2c151df3d9,2581.0
4e29949fbf33f687665c7ec95d0b1b26,2447.0
4be80be705379fe624bf4f236868c161,2390.0
3673a683d8af583c17d216ceffc0df62,2381.0
9e49e93e3914500e0bdc6033ca91b6e7,2282.0
7caed1b0bad4bc1153ee2654ecd99a8b,2167.0
eccab839a45edd87251e3c3f36b9001b,1868.0
ff168ee46dd924734b6c5ec5403b84d9,1864.0
185a20ed7a871d226cc8d2a21d7e77db,1849.0
c39d48bcc90b05a7ef038efb6aca5d48,1746.0
7b2755abb97fe417feffbeb9ae73564b,1703.0
5b51bd06da84660a40db41fc0603b2d8,1644.0
14d30b85f6c5f64a0f07964095bc6034,1603.0
0ad434908732f0d3bb652cd444995bf0,1507.0
9ffe585aeeaf67018731a26bf93c64ed,1496.0
c190c32c37e86ac936a8d9a5d0159bc4,1415.0
46d93c256880c44e4acbc36e42930e82,1387.0
78d9bb7174c70d3ba656d1be61fc3aa7,1354.0
d0155afa5eeaf527d1e25d65be988716,1333.0
d53c4a5c556bad5d8bebc63e036a52bd,1310.0
b598378d6a5c36b8f04f86d042d91b12,1310.0
3b3d281fb3e909c14a618014508dfeda,1309.0
371341a7c170dc76322685f2795f07b1,1280.0
f60726206a737a6e79ca4581c1b57879,1227.0
c6bfb87328696ac2a43251fd572935b7,1226.0
77138978df489d19158d137626235a12,1216.0
265794bce739038d4610914cb8490551,1199.0
e5508e123c5afa0d6c73f5ab314d2892,1182.0
af278dc3ff6e0ec90e22aa34ceb680c5,1110.0
bf5d2b11944d94d720f90f4b57868004,1101.0
784e95e652b0d70df802497ccaecc8af,1082.0
87c01082136220ffbf7a7e8d7e6ae786,1015.0
c3e672cf16383b943148640ebc014251,962.0
59514c332f5919eeda062a0ef5612319,961.0
a55f13f53cadabf378022d9cecbf37d4,936.0
e6a47334180767d52fdd7a6dc8bdcd0d,886.0
0a088091fa7dc8e6a3b88ed13b8785e7,884.0
7094c94b5c597ceac1b102665c95748c,871.0
20958b431fd79f8e49c58863724b2603,829.0
50600b951cd809754f41d960389c8e8e,819.0
8842f8e469dab57756f434f7c9ace87c,815.0
d24615d4a96750f3533092e65ec12714,807.0
5b1e60a4f8f2c2b13c5ea87340cdd6d2,777.0
44d5aa193d3c35bd85f18058788f1fc1,756.0
e78a1bfbcc5599130b312c7f21519230,734.0
e2bfff3bd3acf94385c656a37259b012,708.0
5268e05d9e1f13d56619fb07d4de1fbb,670.0
53146c0d47223e892a6792423225a154,670.0
8d078c4be20b7cf1595e0f87e3a8e171,662.0
3f0fd71f6d127cf93c30f68817e688e5,659.0
ca2ed4c89675af5dddeeba32c2a4d593,647.0
a367f3f7772062cf3cdbca060dbc5f0f,588.0
1a9de57ffa8544ce0ab790baf26c4a3b,580.0
091a4734d2810203bc8c3a43aca1f3b2,573.0
39262efaf707e6579de3c27a09d2f31f,569.0
a0093338d0c2b9462957e389ffb2e071,564.0
20492b8d5a285d9f45acf74bc403528d,553.0
35364fcd66deabb759e9efbd968205bf,551.0
326c3bac879f8e98bf96ca92fce0230b,530.0
2dae88aa851929161de1867bd6c673fb,527.0
c7198ee513577912913b49a073e4a3ec,520.0
73d7c52cd20b159354e0a081bff72559,508.0
f8ff63855fdcf7ace397c08dacf930af,508.0
e0f02bea5f6c4ac1a73b572c2e262cee,507.0
ba3e323f7087e4f423b1de29db214752,501.0
1a84d9136324808f6c1a250f742bf762,495.0
9ad7bc472700c9839ab116b51995c27f,493.0
e932a358c2cab349e07ef329f87dee04,490.0
af1949643a84e65f00778293ab517abb,488.0
9fb72b8a48612d26d392ed327ac54377,475.0
80ee2cde963250d78077c99d37d803ae,463.0
aa52fe7e129f3b0b5b53deb17035220b,460.0
cf3e5e7c2791d210fec500476e8fecb5,458.0
c0666f361adb8713c1ee429264a370f8,448.0
73587a9593dcb48f961a981c7af8c38d,446.0
cd7caf1dda27f0604a151a6d8fc0465a,431.0
69e793e764392a6df0e611df52172759,430.0
c350d6d15f19e81d0284b02874ba1df8,419.0
9fcea48cad10dcadf7734aa8b0e9fb15,417.0
4d73eb87a3c0af024d10472c7ff5d10e,408.0
e4926a891118a3b836245aec6c4605d1,404.0
67e43e901005d06c8b1f1a0c7055cc59,402.0
fdbc66ca1e33e286a1c46cec492ec0e6,402.0
39495efc6db5653b932448a3c27aa97b,399.0
9e65f525a1a14e6b7d2fcc7a5020a919,394.0
7744ea11c99ec0bd152219e55217961c,394.0
737cbc91302b38156775e7f9f8602194,390.0
f3598ff5fe80beee767706c8da0147a7,387.0
56e5042e3f01f548bef901a1e1fa64dc,384.0
2b5c4d5f2312755859ffeb9275ce2f02,372.0
c6589513350cf739dba66e31765f9f45,368.0
4f8235ef3411f6518229a77d30a8f35a,366.0
1c0542ea7b794f5bd180adf237cbe0ab,366.0
9897f84745201ebd919ed57c6c6613fd,358.0
198e6385800caeb12baed71decca7785,352.0
bf8c6a6fd57a995fd3e2b0d6dc8d656c,351.0
ac2c5073ea22e2a45cb7dd882f498c4b,343.0
477739ac82d78df11ce97449498c07c5,335.0
e9853dd7a122c7fc1ec93daeb0a48b42,334.0
3237a59359c02633fc86b41d8f2fb795,320.0
5be3ce2b1f53d2958cf82dc65e37a059,316.0
342147af3ee8faa4cf123d5ad0968d39,312.0
3b0bc7d66a30b771451bd7ac487c7b63,310.0
30e6227bd04188f85e56d36e1efd8e34,309.0
d7c9cc794b08a8184691d63a48d0f3fb,300.0
d82a725205f67f44a250c7689ca442c2,299.0
3d7ff274160e447acdd507dbd8c2115b,299.0
101b70d5dd42fee7fc527f38023f2b8f,297.0
0b9d667fca74bbd5b1fdfea13e404c33,297.0
b8218e35eb8860c4578284a25340c030,296.0
6860f047057966e0a19f4afba34d2ce9,291.0
f02822a47a0458543af2448c9afa9ece,290.0
f24f9d94f7f028eb98936d40b1231fec,289.0
b0430d85e1928236be0e7eb168c5ba55,287.0
355bdd100f70a92291afd576b53df0de,287.0
3b7a8a11efe066fba16ae19e1aa12536,286.0
3b406a5c9d8f103a0e99b4623f0a07c5,279.0
07799be650677f80f1158aec8fa46e2b,278.0
5c9da15d4395a3855c161c99bad16b8c,276.0
ddeb6d1be201e0e14d630553c5b0c9f6,276.0
7b8a04fa1f87c73e68b5c4169ec970e2,275.0
b1837c2b2e3a06226142ddf8f4aab043,275.0
7016175214eea9382a3cccc166e20287,274.0
f207b7d4a5837463da233cc824176cad,273.0
f3f1aebc50d9e82b3c66672d2a416649,272.0
a39013e5e88538afeb5504ff6a9b7fa1,264.0
1ab9fb43b8a7bbe266def4d5243fca25,260.0
be47cc29acf787c3faca3e1c2c42a64c,259.0
f67d6e431eb6e979bed010f369cfdab5,258.0
64f3203d620755718da6456bafd49add,255.0
10163690f24155449e94331230f9fb27,253.0
6b6d4edb13993c0eff2eaf3a74b979b7,251.0
1ca9331a6c93eb86a1db29233e1c3d4f,249.0
b9e93d19dc895b876094a500d3aed6d1,248.0
28e07719682836d0f5e2676767528adc,247.0
fc24fe9a80ef713ea51215986e524cf8,245.0
a52bd2e22f984b62a506f411f04d9b90,239.0
3b4dd50397e222153c9bf8187e85f201,238.0
080e4cef00ff8709d905634f0b030e3b,238.0
fd4f29296f24b97db3e33f2935e32783,236.0
48db22ee05f7ea16fbe97430b44dd2f7,236.0
9216ca3ee26f717ed500cc2e1e4d598b,236.0
607aa973182059e88525376162dad6f7,236.0
7e9ccac6f1291ff8d7010b1692c0210e,236.0
1d672dabeebed8375e444556c69b37fe,235.0
cfd5a66eabf8107ff7015ab728a294d2,233.0
8111844d4664b931e2ef21ff30a8b404,232.0
c9b529ab27132d10f140fb27229b1b4f,231.0
e0b88f8dc3b28eb8edc9fd49cb546310,231.0
aee44ec6ac144378290611770f31701c,227.0
96e0761161a90d213718ae93af8b9926,224.0
1a32cf83c6ca518be2f5abcb8cf3741f,223.0
b0b974dd5ca3901a34ebc548a415ceb7,223.0
18bce8bf1ba95cb700ced7ae0dc7e9d4,217.0
51baf675827e4b7d01ad0d1ec47c6bd0,217.0
a0d51ed57f49a0f02e83d35c1059a28f,216.0
ef204c29a285d8913315e564ed10ff75,215.0
cae2021f4548f3c179b00123a4e58287,215.0
b30ef3f8c88265285658f7afebfaf019,215.0
b912ddb986f567a9c93dfd47650a5ab5,212.0
4b0ead64f3ea6437c58fbb3291f469d0,210.0
2ce7ad2ba77f537ea43f47cad32b2042,209.0
abd73ce84ad4b68205085185cc7b1b9b,208.0
030c8380854a362672714495bfe1ba04,208.0
2c7bec549c76392f27cdec7aefd88bb6,207.0
7ecdca8bb9c6b79ea17b6770cc259bcf,204.0
682570d410218e45f2a36dd56fba59a5,204.0
b9767f62e0cf74dd29f054a901bd8ae4,204.0
076daedac7ee23516250440cb546b4f2,203.0
1ec3f96ad388b2759e3fd3ba1bfbede6,202.0
1a3ba7d517826fc100d5d8d46e06298b,202.0
d405dd8ddba33235786383a1921e35dc,202.0
04975f77c7ae8a18fe9ad6d4fb27db3b,197.0
fff4bfbba769ce4b0b8653213358e89a,197.0
57a9bcab70dbe12b82689368587028dc,196.0
0899d94f605d18516cbdafd920da8b84,196.0
1468a67fb39d9ad1c86c71ef3058c0ae,194.0
a9b549dcb6d1e9b3c8018a429aff6564,192.0
05ec1be03ebe5bb45dc91325c3a44cb7,192.0
307fcb3bdaf851dd728bcaddb9ceacb6,191.0
493f1916e3f00bd6efd5519e1b3883be,191.0
979f96f8d59d08457f7d886b18e3995d,190.0
6c7d40baa998f548269bdabbef2a3551,188.0
e656f69b552c09a5cc975676a527995e,187.0
a151ed3ba50a5768ac7704e2e4510997,187.0
42ab028ed562fc9a044188f92a5a5a3c,185.0
bef9bc91fbaafd7d851d5dc37d0a86e9,182.0
7c2c7e47539d87a7a399cd861f062d34,180.0
c68c1d33eb8e39bf81f3ef7ded13d749,180.0
8eb36c4fa5ebf21ecfe71ae34cd11fe2,179.0
79c36b89970649f50924da5a99d89e3b,176.0
f18dd6c51bbe1cbd275904c468918147,175.0
734e44e12e5d8295d4b5437f205a23d9,175.0
436bc261b325c87b5dea46d3aa006223,175.0
4b57e2401ee4c0b6372dc21985367688,173.0
3de5f6066b14c875c678437173adc71f,172.0
b0e05a2ce397cd919a608243aed130b8,172.0
e0a21be446daad3d3be3c5658d992628,171.0
11bb6bf9d0f2c658f121ec9cfb25fc40,170.0
d9f93c004998efea8eed8199ce1a7da6,169.0
a4329f20c55511d70d1c15c8ea93eb8c,164.0
b9b78019f1686ae073dab1f23347895e,164.0
ed143730b26d5d56f186a13894eb00f2,163.0
15f3d96d7a08528f68c2d217c6752be1,162.0
8bc82ef4bd506d5e5152673815e8bf95,162.0
56489e9153e304cd3c8242b6abe22634,161.0
020b814b812bd35533e088feb69765e3,161.0
80259668ac3f8336a000b4fb7ed649f7,158.0
4365681609467ecb71fbee457c940b18,156.0
16fe33b0366391e8f9032b8242ffcc0f,155.0
ef98cbdc17337c24a1de4a7e75011e2b,155.0
a6dd43f168c9cabaf91b7807411c4349,155.0
de816d07d93fae95eba58995e40cbca5,155.0
f87241303ccf82f9b679e31f81b391ab,154.0
af9a8d697636dbcda777bad6a2bc2329,153.0
b57e43869440de9b8b9d2892c0c81afa,152.0
e059c6f0cac20591669ea5be0de9d2fc,151.0
4a4d7595949379315bb5e5196e4eab97,147.0
43bf7ce7f89c03467260229bb52f3b3d,147.0
6c03541926f6fc5b5bd106ef17f24d7a,146.0
a0e2a6c37979b79f7727ee7320c1c912,145.0
2112ba2b42b16c55f1bd3c457bbeda5b,145.0
1245916235460d7f9d9fd9c478df1ed6,144.0
7de997b828a5addafcafb729b6ed55af,144.0
1ed2614bf4198920377d5abdb1fd51c9,142.0
ea809702fa4c8b845418f5cc007d0167,141.0
67b5f0540c18321a04de36f19d80fa65,140.0
204892322ce15edd5dd165e84a4a8294,140.0
de1f69b5f36b9a4c0b0b50e73577e5e4,140.0
8010c5d2ea8c972d9272f421958f9097,137.0
3f86361f4cc0545f1fa12729ea4233fa,137.0
f3a714a7dff5f1bd53f12262489bb19c,136.0
2120b2e1ec9b9aa0ee25674365d9c770,136.0
6684e46b850d5b7c1fc61dc68dcfa28d,136.0
e7d400d979238558f34c1649f1721c7b,135.0
347e3bddd68288da551f1c580f093943,135.0
ecb1c4e0347a9cfe34840fe30a0dddb7,133.0
c56663d268411a5c9c6c8f2038ffc361,133.0
a3b7c2408beb599e6a888b98c3431173,132.0
121b72c11e4fef515ec416687443c090,131.0
629af543091e9b325ae38623cc317c2e,131.0
271086dcb63b366f7e0265f0c6ab3b45,131.0
bace27d80ebe6e1a81fe80de7913ec9f,129.0
d01df405ec2d88897a5bff680e55bacd,129.0
e3d51abedbd44349f4f189a3c3130e2f,128.0
4c009a30015f444d7aaa179638a274c6,127.0
bbd4f9a0f3f206b0b5961ab4ac5acdfc,127.0
740430c1822e0170086d7f96138494e8,126.0
2692d176018234b6f0c4aff961bdd97c,123.0
f429c37604adcdc3adec50a8dc75141c,123.0
6f9b9a5603628fba426c8d75a9ee833d,123.0
a6aa9754df79eeda286337d01c4f094b,121.0
e41c936de158ab00ad67ee7a5366fb0f,120.0
0dddcf385592b9896f42d03f3dd4abf4,120.0
24f805d2c55690d1a1c37e4e1aab00fa,118.0
a5f84d0290b37f4bb93bfbc047f1b30b,118.0
ebd854b859f556e20a998c918cd6298c,118.0
bb31ca5680dd6241789aadb26675ae69,115.0
8583d5880eabc35887b9efbc0cc1f430,113.0
feb280ec64a97c8692f69b33707b75a3,113.0
91dc84ebadabc9153b19cf300cbfa59b,112.0
470f63747732dbbb7b113d343632ac95,111.0
823f206fee4e418553a026256a520545,111.0
e2a5fd9c20770ac2aa8301047658c57f,110.0
a036e9517fb4a7c472bb478aebcf2308,110.0
355848a6bdc2bbae59a9920f780f36af,109.0
c88bbe5775b6089826460896cd273d7f,109.0
298304ab6cb14c86acad0096e4e592ff,108.0
bceda017b8762829850d74ca447eaf39,108.0
ff3a3a5da5988dfcd8f6b496048563d2,108.0
e49ec6ce4338259ce459985b7c1aecce,107.0
dc65899784895779308c6d9902733bdb,106.0
9d1640db5fbb2bad3393902d4fa1758a,106.0
f012b51fd22973ca6d75162101c58d77,104.0
310ed1fb543c86071f8a62a0a5ad4bf9,103.0
5a2b4bbd41cd6fee3bad735f82aadced,102.0
de00c14200d39cef46415d8fd578e8be,101.0
4c8b50424e5d32abd1885339411aa632,100.0
b57a029c7934868024396b57fd9b277b,100.0
ff389767c88b25ce17bf018c2e3306fe,100.0
33d63a248cfa5ba28ec6e033c56197d8,99.0
0f20a07d3a22be74a92d6e7201ce25a2,98.0
3254b62ab3233a31adfbeaa20723e7ab,98.0
023d43143247ce73e145d60bae7c2503,98.0
2a1b3dae1170c4036f04698a2a8b4c93,98.0
c72de87c1e5dcd19dc52d743c04965fc,97.0
da887bef50174fd1449a3d176837b784,97.0
773c520c24f7ea132630745c280868de,96.0
384cbd678fd7bf1ba2be5050db5a6cf2,96.0
ddb6a0f16514e58b63657ef6edafce89,96.0
b6522e5da19ab0eaa3d82f5a2a4c035b,96.0
38b325a6874eeb8f68ea5414ca3f6f37,96.0
906a4c35777fef8bd3a8a3431e5938e0,95.0
fdec9a5e56b6fd8615eb8dbc6b74e534,95.0
aa412f721f2619da4ede606ba3de4c02,94.0
56fd1828a99be8b6d7f55bb20cce7eb0,94.0
87bf4b4b14f13e40146b8641d82844b9,94.0
9e270aac64662fea9764045ae2a08dc3,94.0
f248aabcbfd8bddb56c705cd0fde2ccf,92.0
e2218bbb67a3c31ef76d597e7e4fc4c0,91.0
a42eb4c4f4c01afba5208b8bcda8acce,91.0
024a60964d6ef335f70caa3b7a3cfb7b,90.0
96e66e4b037bb0e02d21d03ac28103e5,89.0
a7379baf81464470a2d78ec04dc69b92,89.0
9573b0587818c5684c47b45527b597de,89.0
df058c40d67a0f8b070edc6aae54c111,88.0
d4f02146dec261db6d5186404330c616,88.0
e93f908b10aaa7445febf5ed9759256c,87.0
ff5b3aec260c9a4e28e1a4b904c0585d,86.0
8b21bf52beaebabcb157b2d2b17170a1,85.0
848f2f098cd5bc1695362713435d00c7,84.0
41fd7fbd90645408d20e1f034e7f165a,84.0
36d70a4eb351e48afddaa3a31a97b8ce,84.0
5cb6c85dc8e57adc8c0796cc0d1b2b06,83.0
ef222476181e4892aa94a099dad2f33c,83.0
43d00b4690e1492ea4af858c6bf7d243,82.0
7488d79251fc3264d35e7da9b5c886ed,82.0
578899efc7360960fa7c18fb1ef08a86,82.0
3a8ac4f182bcc14482108be123b5bc68,81.0
4707b2d52cf5bdf43ad39e85d5424170,81.0
6a42a7e0e2db216ddee7b22e26e13223,79.0
b4a6a08056a0d8394663813ca92b7cd9,79.0
434932f01e062c7de7db7f313845fad3,79.0
3a315d91e17f6ddf6db9241f986f8902,79.0
d9fb2b56b109e6509cf4cf5777740b02,78.0
476c41d8bebc151253a9918346c1083a,78.0
4022f53d2515a5ba2fe283c5747a86fb,78.0
5b11253934b41c0fa7337052eb526d2b,78.0
12c50308489072d1540b341e4f37ad85,78.0
851431279425e4534580551fd7115816,78.0
f33428fd6daf11968938d4ad3c824e1c,77.0
6efd4a37776ab7fdb81ecbedd193638a,77.0
96c3621bc4e499e72ceae2a134aa3110,77.0
c21fc1cc74c79afc9e59564f7cbf5d1d,77.0
443786ea9af2ee09fed800f8767e2ebf,76.0
4cbf62803673fa1a96fb83618a289676,76.0
01433303300353ac6dc9dc4fd446942c,76.0
166d113b5d6d93485390cc89713ab97a,76.0
0c7f9104db13931c7635d37bc6756282,75.0
4a506c5297e700bbac31a73fd5a44e78,75.0
995f3a34ce29142a76b5eb71f9dfc8cc,75.0
5435023add7e4ef091572c193537b260,75.0
261b144cda43dc743ef239b6ba2004ce,74.0
867e24c88ce78ab51426314ce9b9af43,74.0
f9ebedbd60b0ec975af9eb1bd11409e8,73.0
52bdacd0a67bfc3faeff9478a0236a09,73.0
630b20234f188c9bc941b3c0a401cd05,73.0
2abd8fa5d63afd4acd7103f99e940488,72.0
c5570c72a6a36a33c8092188a1f271a2,72.0
664dc3f17c2853082f561b090f7f82db,72.0
8bc21eaff3abf4df346a2eb6a552bcc4,72.0
90b7259de86ab0d751acad590ccf7612,71.0
698b76785c71937c243ae65eba0b2bda,70.0
e8f3d675127e14321c4964a6341395ab,70.0
7df78e9fe7488bdf53aa85a35bdb5e48,70.0
5a6d4553e40c36dfe84f74158de9b4d1,69.0
f1c148dce79f409887dc754baf37b03d,69.0
500ea48908714e71aa996b3e564b85cf,69.0
5abaa367137c22de18b8642bef58718e,69.0
4b36d4353d4c2c74bd84b1edd5a11e29,68.0
eb231b4085ded5102c5853f391acee1b,68.0
89f50511b86295ffc50a8a945a895357,68.0
f667c06b343f3210eb91ed9cf4d5d9c8,68.0
9888f7445a0c7f5d66558e6ce1896f23,67.0
918fe320bf0bcbfaa932eafabeda04d2,67.0
384fcea12d435cb4970781b70f40ddd6,67.0
fcf91127895b9fe09734e7af5ba2e27a,66.0
6a64e8b5867b7efda37e03f5ef7f0e9a,66.0
5183339ce3e392734a1ea315829e0a98,66.0
2e5204bf4fc3681b891897bdd9c49fb4,65.0
5bc01fce543479feef40320427f64482,65.0
7e4f0679aaa40221a2ee78979181546f,65.0
3c87de97fc1f5c4b308838559773aca5,65.0
acdc274b80bf84317b82215f84a32873,65.0
ef5e25aa8a885b30a50a5157e5ea34be,64.0
11b6314f7931d8d1fd42fc07aae932ed,64.0
5d7ee1e96f9aced1376875f7f7959b05,63.0
54822ed98b8431ad278f4baa68c068aa,63.0
9d0bddc0adab7e45e072a0e144699cca,62.0
26ac10f4bf78bb893f4cfbbf17026418,62.0
cdda09610b82e7b135eb1a073485496c,62.0
34df06f5eb1538b08dbb35fd24386073,62.0
584721936cc2cebcaf432a751851e0cc,61.0
07cbd461b1a1a57ac0ad2e522cfe2fd2,61.0
30b4772e77bddbfa9eadccc064ad6024,60.0
6640f7fadd9727546c393edd7c63f390,60.0
92ef0de9b4da46d8cf1a8ec2d9e1bc0e,60.0
c7c90c5b3fb5572e3150b5d3fc2e74a1,60.0
d88b7075fbc708f06ea4f52ec8eb2a74,60.0
30b286f6ff0997f3ead9d7c6dc66a97c,60.0
1cd7f5c45ceeadd1ee75165b8908fde4,60.0
a8f0256fe3060b0dd83c89bd489b2493,60.0
8a90ee52dd03179c4f5d9cf4ed1707d1,59.0
2ed576053c479e6d903d9a4b122e14cc,59.0
c8994f27d1c26907a4de3292b1dc47b5,59.0
60a38b47cc8061f665e35cddfb0ce2c0,59.0
ab4e1e68b69536b0b4db08aae980f3e3,59.0
d36d28706f4e81eae83b0d8a28cf3bee,58.0
27f9d6fea78968a54724abcca5938fc6,58.0
630f2e09354cb4f393120586d4b7e7e0,57.0
